MSNA_time,BP,ECG,MSNA_v,MSNA_filt,MSNA_v_zeroed,MSNA_vjust
891.24,-1.5625e-5,-0.068125,0.1150474,0.001582946637051409,0.0019317568097701819,0
891.28,-3.125e-5,-0.04992383,0.1165659,0.0016748724309320227,0.00312489494466377,0
891.32,-1.953125e-5,-0.04944726,0.1122774,0.0010817972163147177,-2.3308807824323402e-4,0
891.36,-3.125e-5,-0.02402734,0.1136266,7.436365018317183e-4,8.278068353707269e-4,0
891.4,-1.5625e-5,0.03283594,0.1134494,6.96496768755114e-4,6.924170141784682e-4,0
891.44,-2.34375e-5,0.00830664,0.1134919,5.112600912334611e-4,7.293407336936598e-4,0
891.48,-2.34375e-5,-0.03023828,0.1133658,-4.5851118887806824e-5,6.342283971093175e-4,0
891.52,-1.953125e-5,0.09922266,0.1099559,-6.75492791945112e-4,-0.0020346760131450415,0
891.56,-1.171875e-5,0.6471855,0.1117567,-6.863117725598424e-4,-6.196760757366373e-4,0
891.6,-1.5625e-5,-0.1538066,0.1130317,-5.921084914153475e-4,3.830959869899749e-4,0
891.64,-2.34375e-5,-0.1303438,0.1107162,-9.261594036671516e-4,-0.0014283597944203374,0
891.68,-7.8125e-6,-0.07468359,0.1129575,-0.0018636840587785352,3.3164778840031516e-4,0
891.72,0,0.01666406,0.1059477,-0.003312772397254591,-0.005159444711803386,0
891.76,-1.171875e-5,0.1682031,0.1066174,-0.003917319567000522,-0.004632043465090123,0
891.8,-1.171875e-5,0.2438027,0.1078436,-0.003177260216606173,-0.0036691805910576657,0
891.84,-1.5625e-5,0.004738281,0.1103031,-0.0017604891306854022,-0.0017402179278968506,0
891.88,3.90625e-6,-0.194123,0.1133988,-4.5923301830318186e-4,6.871331199403144e-4,0
891.92,-2.34375e-5,-0.1790195,0.1129518,9.387127840317607e-5,3.377707032302338e-4,0
891.96,-2.34375e-5,-0.1515273,0.112916,7.027273945116375e-5,3.107664238341808e-4,0
892,-1.953125e-5,-0.1118145,0.111916,-6.284891899344717e-5,-4.719433586226473e-4,0
892.04,-3.90625e-6,-0.09065821,0.1134145,-3.437181443449446e-4,7.036345134797772e-4,0
892.08,-3.90625e-6,-0.087125,0.1105224,-9.305749878275535e-4,-0.0015620953500503608,0
892.12,0,-0.08140821,0.1103806,-0.0012976858035519082,-0.0016723450621055202,0
892.16,-7.8125e-6,-0.0747207,0.1109693,-0.001177596731662459,-0.0012102819008164404,0
892.2,-7.8125e-6,-0.06088281,0.11113,-7.763852234929641e-4,-0.0010838827620985611,0
892.24,7.8125e-6,-0.05249414,0.1137828,-6.345721212739999e-4,9.95690974176844e-4,0
892.28,-1.171875e-5,-0.04532813,0.1113145,-0.0015243497231638534,-9.38573879306352e-4,0
892.32,-1.171875e-5,-0.01767578,0.1069432,-0.0026657095665800737,-0.004364587212151086,0
892.36,-1.953125e-5,0.01386523,0.107531,-0.002360627172387175,-0.003904272041485372,0
892.4,-1.953125e-5,-0.05342773,0.1120578,-5.584452562135635e-4,-3.5712552065893667e-4,0
892.44,-1.953125e-5,-0.03174414,0.1159541,0.0011418648018094724,0.002695769140927059,0
892.48,-1.171875e-5,0.891959,0.1148181,0.0017627670271836743,0.0018046964825137166,0
